hissekodu,Symbol,symbol
BIGCH,BIGCH.IS,BIGCH.IS
BIGEN,BIGEN.IS,BIGEN.IS
BIMAS,BIMAS.IS,BIMAS.IS
BINBN,BINBN.IS,BINBN.IS
BINHO,BINHO.IS,BINHO.IS
BIOEN,BIOEN.IS,BIOEN.IS
BIZIM,BIZIM.IS,BIZIM.IS
BJKAS,BJKAS.IS,BJKAS.IS
BLCYT,BLCYT.IS,BLCYT.IS
BMSCH,BMSCH.IS,BMSCH.IS
BMSTL,BMSTL.IS,BMSTL.IS
BNTAS,BNTAS.IS,BNTAS.IS
BOBET,BOBET.IS,BOBET.IS
BORLS,BORLS.IS,BORLS.IS
BORSK,BORSK.IS,BORSK.IS
BOSSA,BOSSA.IS,BOSSA.IS
BRISA,BRISA.IS,BRISA.IS
BRKSN,BRKSN.IS,BRKSN.IS
BRKVY,BRKVY.IS,BRKVY.IS
BRLSM,BRLSM.IS,BRLSM.IS
BRSAN,BRSAN.IS,BRSAN.IS
BRYAT,BRYAT.IS,BRYAT.IS
BSOKE,BSOKE.IS,BSOKE.IS
BTCIM,BTCIM.IS,BTCIM.IS
BUCIM,BUCIM.IS,BUCIM.IS
BULGS,BULGS.IS,BULGS.IS
BURCE,BURCE.IS,BURCE.IS
BURVA,BURVA.IS,BURVA.IS
BVSAN,BVSAN.IS,BVSAN.IS
BYDNR,BYDNR.IS,BYDNR.IS
CANTE,CANTE.IS,CANTE.IS
CATES,CATES.IS,CATES.IS
CCOLA,CCOLA.IS,CCOLA.IS
CELHA,CELHA.IS,CELHA.IS
CEMAS,CEMAS.IS,CEMAS.IS
CEMTS,CEMTS.IS,CEMTS.IS
CEMZY,CEMZY.IS,CEMZY.IS
CEOEM,CEOEM.IS,CEOEM.IS
CGCAM,CGCAM.IS,CGCAM.IS
CIMSA,CIMSA.IS,CIMSA.IS
CLEBI,CLEBI.IS,CLEBI.IS
CMBTN,CMBTN.IS,CMBTN.IS
CMENT,CMENT.IS,CMENT.IS
CONSE,CONSE.IS,CONSE.IS
COSMO,COSMO.IS,COSMO.IS
CRDFA,CRDFA.IS,CRDFA.IS
CRFSA,CRFSA.IS,CRFSA.IS
CUSAN,CUSAN.IS,CUSAN.IS
CVKMD,CVKMD.IS,CVKMD.IS
CWENE,CWENE.IS,CWENE.IS
DAGHL,DAGHL.IS,DAGHL.IS
DAGI,DAGI.IS,DAGI.IS
DAPGM,DAPGM.IS,DAPGM.IS
DARDL,DARDL.IS,DARDL.IS
DCTTR,DCTTR.IS,DCTTR.IS
DENGE,DENGE.IS,DENGE.IS
DERHL,DERHL.IS,DERHL.IS
DERIM,DERIM.IS,DERIM.IS
DESA,DESA.IS,DESA.IS
DESPC,DESPC.IS,DESPC.IS
DEVA,DEVA.IS,DEVA.IS
DGATE,DGATE.IS,DGATE.IS
DGGYO,DGGYO.IS,DGGYO.IS
DGNMO,DGNMO.IS,DGNMO.IS
DITAS,DITAS.IS,DITAS.IS
DMRGD,DMRGD.IS,DMRGD.IS
DMSAS,DMSAS.IS,DMSAS.IS
DNISI,DNISI.IS,DNISI.IS
DOAS,DOAS.IS,DOAS.IS
DOBUR,DOBUR.IS,DOBUR.IS
DOCO,DOCO.IS,DOCO.IS
DOFER,DOFER.IS,DOFER.IS
DOGUB,DOGUB.IS,DOGUB.IS
